MANDT,EBELN,EBELP,MATNR,TXZ01,WERKS,MATKL,MENGE,MEINS,NETPR,PEINH,NETWR,LOEKZ
100,4500000010,00030,000000000000525667,Gasket Set Viton,P200,ROH2,43,PC,245.18,1,10542.74,
100,4500000010,00040,000000000000545977,Control Valve DN50,P100,ROH3,23,PC,126.86,1,2917.78,
100,4500000011,00010,000000000000235502,PLC Module CPU1214,P100,ROH2,16,PC,240.9,1,3854.4,
100,4500000011,00020,000000000000374617,Control Valve DN50,P200,ROH3,17,PC,88.07,1,1497.19,
100,4500000011,00030,000000000000624380,Pressure Sensor 0-10bar,P200,ROH2,177,PC,86.63,1,15333.51,
100,4500000012,00010,000000000000174158,Steel Sheet 2mm,P200,ROH1,165,PC,335.47,1,55352.55,
100,4500000012,00020,000000000000727864,Gasket Set Viton,P100,ROH2,67,PC,314.17,1,21049.39,
100,4500000013,00010,000000000000250853,Bearing Kit 608ZZ,P200,ROH2,107,PC,267.37,1,28608.59,
100,4500000013,00020,000000000000654895,PLC Module CPU1214,P200,ROH2,197,PC,76.62,1,15094.14,
100,4500000013,00030,000000000000859332,Gasket Set Viton,P100,ROH2,163,PC,292.3,1,47644.9,
100,4500000014,00010,000000000000103475,Gasket Set Viton,P100,ROH2,121,PC,360.58,1,43630.18,
100,4500000014,00020,000000000000948527,Gasket Set Viton,P100,ROH2,24,PC,381.99,1,9167.76,
100,4500000014,00030,000000000000617942,Pressure Sensor 0-10bar,P200,ROH2,102,PC,41.92,1,4275.84,
100,4500000014,00040,000000000000728836,Bearing Kit 608ZZ,P200,ROH2,42,PC,154.64,1,6494.88,
100,4500000015,00010,000000000000239046,Hydraulic Hose 1/2in,P200,ROH3,159,PC,370.54,1,58915.86,
100,4500000015,00020,000000000000342623,Hydraulic Hose 1/2in,P200,ROH3,132,PC,404.79,1,53432.28,
100,4500000015,00030,000000000000525112,Pressure Sensor 0-10bar,P200,ROH2,82,PC,329.41,1,27011.62,
100,4500000016,00010,000000000000361435,Control Valve DN50,P200,ROH3,73,PC,200.82,1,14659.86,
100,4500000016,00020,000000000000951404,Steel Sheet 2mm,P100,ROH1,199,PC,286.86,1,57085.14,
100,4500000016,00030,000000000000744784,Pressure Sensor 0-10bar,P200,ROH2,197,PC,69.25,1,13642.25,
100,4500000017,00010,000000000000301753,Aluminium Profile 40x40,P200,ROH1,67,PC,48.1,1,3222.7,
100,4500000017,00020,000000000000311961,PLC Module CPU1214,P200,ROH2,10,PC,339.35,1,3393.5,
100,4500000018,00010,000000000000176690,Steel Sheet 2mm,P200,ROH1,105,PC,419.17,1,44012.85,
100,4500000018,00020,000000000000921147,Cable Harness 3m,P100,ROH1,32,PC,106.92,1,3421.44,
100,4500000018,00030,000000000000189132,Pressure Sensor 0-10bar,P100,ROH2,146,PC,351.37,1,51300.02,
100,4500000018,00040,000000000000234182,Gasket Set Viton,P200,ROH2,165,PC,119.29,1,19682.85,
100,4500000019,00010,000000000000392137,Pressure Sensor 0-10bar,P100,ROH2,85,PC,292.9,1,24896.5,
100,4500000019,00020,000000000000838882,Servo Motor 24V,P100,ROH1,171,PC,143.87,1,24601.77,
100,4500000019,00030,000000000000338908,Gasket Set Viton,P200,ROH2,175,PC,195.55,1,34221.25,
100,4500000020,00010,000000000000537286,Pressure Sensor 0-10bar,P100,ROH2,175,PC,32.94,1,5764.5,
100,4500000020,00020,000000000000323293,Steel Sheet 2mm,P100,ROH1,11,PC,438.56,1,4824.16,
100,4500000021,00010,000000000000784162,Control Valve DN50,P100,ROH3,139,PC,337.87,1,46963.93,
100,4500000021,00020,000000000000563926,Hydraulic Hose 1/2in,P100,ROH3,48,PC,56.16,1,2695.68,
100,4500000022,00010,000000000000493811,Steel Sheet 2mm,P100,ROH1,13,PC,213.11,1,2770.43,
100,4500000022,00020,000000000000385542,Hydraulic Hose 1/2in,P100,ROH3,90,PC,431.3,1,38817.0,
100,4500000022,00030,000000000000103954,Gasket Set Viton,P100,ROH2,189,PC,342.0,1,64638.0,
100,4500000022,00040,000000000000914068,Pressure Sensor 0-10bar,P200,ROH2,103,PC,357.09,1,36780.27,
100,4500000023,00010,000000000000541513,Bearing Kit 608ZZ,P200,ROH2,132,PC,444.89,1,58725.48,
100,4500000023,00020,000000000000884310,Cable Harness 3m,P100,ROH1,142,PC,382.37,1,54296.54,
100,4500000024,00010,000000000000104710,Bearing Kit 608ZZ,P100,ROH2,126,PC,398.21,1,50174.46,
100,4500000025,00010,000000000000486618,Steel Sheet 2mm,P100,ROH1,92,PC,70.49,1,6485.08,
100,4500000025,00020,000000000000728540,Steel Sheet 2mm,P100,ROH1,192,PC,296.03,1,56837.76,
100,4500000026,00010,000000000000427535,Steel Sheet 2mm,P200,ROH1,195,PC,258.4,1,50388.0,
100,4500000026,00020,000000000000509711,Cable Harness 3m,P100,ROH1,191,PC,187.0,1,35717.0,
100,4500000026,00030,000000000000705862,Servo Motor 24V,P100,ROH1,98,PC,211.72,1,20748.56,
100,4500000026,00040,000000000000193355,Servo Motor 24V,P200,ROH1,151,PC,283.01,1,42734.51,
100,4500000027,00010,000000000000692893,Control Valve DN50,P100,ROH3,60,PC,26.44,1,1586.4,
100,4500000027,00020,000000000000143095,Cable Harness 3m,P100,ROH1,148,PC,380.38,1,56296.24,
100,4500000027,00030,000000000000676771,Pressure Sensor 0-10bar,P200,ROH2,165,PC,351.91,1,58065.15,
100,4500000027,00040,000000000000568492,Hydraulic Hose 1/2in,P100,ROH3,133,PC,201.75,1,26832.75,
100,4500000028,00010,000000000000615763,Control Valve DN50,P100,ROH3,78,PC,430.83,1,33604.74,
100,4500000028,00020,000000000000740097,Hydraulic Hose 1/2in,P200,ROH3,198,PC,119.48,1,23657.04,
100,4500000029,00010,000000000000150930,Aluminium Profile 40x40,P200,ROH1,167,PC,387.36,1,64689.12,
100,4500000030,00010,000000000000365973,Aluminium Profile 40x40,P200,ROH1,84,PC,290.54,1,24405.36,
100,4500000030,00020,000000000000756008,PLC Module CPU1214,P200,ROH2,115,PC,192.62,1,22151.3,
100,4500000030,00030,000000000000612118,Control Valve DN50,P100,ROH3,63,PC,278.73,1,17559.99,
100,4500000031,00010,000000000000642724,PLC Module CPU1214,P100,ROH2,192,PC,225.84,1,43361.28,
100,4500000031,00020,000000000000164517,Steel Sheet 2mm,P100,ROH1,141,PC,19.15,1,2700.15,
100,4500000031,00030,000000000000742399,Steel Sheet 2mm,P100,ROH1,146,PC,298.31,1,43553.26,
100,4500000031,00040,000000000000779054,Aluminium Profile 40x40,P100,ROH1,169,PC,191.54,1,32370.26,
100,4500000032,00010,000000000000283911,Pressure Sensor 0-10bar,P200,ROH2,62,PC,448.5,1,27807.0,
100,4500000033,00010,000000000000773189,Gasket Set Viton,P100,ROH2,60,PC,45.76,1,2745.6,
100,4500000033,00020,000000000000882396,Control Valve DN50,P200,ROH3,88,PC,92.84,1,8169.92,
100,4500000033,00030,000000000000592299,Aluminium Profile 40x40,P100,ROH1,125,PC,379.15,1,47393.75,
100,4500000034,00010,000000000000898772,PLC Module CPU1214,P100,ROH2,98,PC,96.1,1,9417.8,
100,4500000035,00010,000000000000434641,Gasket Set Viton,P100,ROH2,91,PC,195.3,1,17772.3,
100,4500000035,00020,000000000000628206,PLC Module CPU1214,P100,ROH2,126,PC,384.31,1,48423.06,
100,4500000036,00010,000000000000266613,PLC Module CPU1214,P100,ROH2,77,PC,368.34,1,28362.18,
100,4500000036,00020,000000000000926187,Pressure Sensor 0-10bar,P100,ROH2,183,PC,256.07,1,46860.81,
100,4500000036,00030,000000000000542635,Bearing Kit 608ZZ,P100,ROH2,170,PC,19.13,1,3252.1,
100,4500000037,00010,000000000000300879,Aluminium Profile 40x40,P100,ROH1,73,PC,141.27,1,10312.71,
100,4500000037,00020,000000000000465567,Aluminium Profile 40x40,P100,ROH1,46,PC,112.41,1,5170.86,
100,4500000038,00010,000000000000305721,Gasket Set Viton,P100,ROH2,32,PC,289.99,1,9279.68,
100,4500000038,00020,000000000000995827,Servo Motor 24V,P200,ROH1,116,PC,314.5,1,36482.0,
100,4500000038,00030,000000000000105785,Servo Motor 24V,P200,ROH1,194,PC,115.09,1,22327.46,
100,4500000038,00040,000000000000800339,Cable Harness 3m,P100,ROH1,189,PC,296.4,1,56019.6,
100,4500000039,00010,000000000000465122,Aluminium Profile 40x40,P200,ROH1,30,PC,382.44,1,11473.2,
100,4500000039,00020,000000000000647029,Hydraulic Hose 1/2in,P200,ROH3,92,PC,189.37,1,17422.04,
100,4500000040,00010,000000000000584564,Servo Motor 24V,P100,ROH1,59,PC,80.72,1,4762.48,
100,4500000040,00020,000000000000855713,Aluminium Profile 40x40,P100,ROH1,62,PC,368.07,1,22820.34,
100,4500000041,00010,000000000000608474,Pressure Sensor 0-10bar,P100,ROH2,114,PC,283.53,1,32322.42,
100,4500000041,00020,000000000000159834,Servo Motor 24V,P200,ROH1,26,PC,373.93,1,9722.18,
100,4500000041,00030,000000000000115713,PLC Module CPU1214,P100,ROH2,173,PC,13.07,1,2261.11,
100,4500000042,00010,000000000000345551,Servo Motor 24V,P100,ROH1,40,PC,217.17,1,8686.8,
100,4500000042,00020,000000000000272612,Pressure Sensor 0-10bar,P100,ROH2,143,PC,273.02,1,39041.86,
100,4500000042,00030,000000000000797618,Pressure Sensor 0-10bar,P200,ROH2,80,PC,379.53,1,30362.4,
100,4500000043,00010,000000000000680940,Gasket Set Viton,P200,ROH2,18,PC,373.41,1,6721.38,
100,4500000043,00020,000000000000631024,Gasket Set Viton,P200,ROH2,93,PC,438.95,1,40822.35,
100,4500000043,00030,000000000000233767,Gasket Set Viton,P100,ROH2,155,PC,437.96,1,67883.8,
100,4500000043,00040,000000000000671894,Servo Motor 24V,P200,ROH1,151,PC,29.97,1,4525.47,
100,4500000044,00010,000000000000542273,Control Valve DN50,P200,ROH3,13,PC,148.77,1,1934.01,
100,4500000044,00020,000000000000695074,Pressure Sensor 0-10bar,P100,ROH2,138,PC,25.41,1,3506.58,
100,4500000044,00030,000000000000170484,Pressure Sensor 0-10bar,P100,ROH2,8,PC,308.54,1,2468.32,
100,4500000045,00010,000000000000911622,Hydraulic Hose 1/2in,P100,ROH3,196,PC,323.39,1,63384.44,
100,4500000046,00010,000000000000738528,Pressure Sensor 0-10bar,P200,ROH2,20,PC,147.8,1,2956.0,
100,4500000046,00020,000000000000776214,Hydraulic Hose 1/2in,P200,ROH3,46,PC,286.33,1,13171.18,
100,4500000047,00010,000000000000818087,Servo Motor 24V,P100,ROH1,101,PC,273.99,1,27672.99,
100,4500000047,00020,000000000000381042,Gasket Set Viton,P100,ROH2,113,PC,77.52,1,8759.76,
100,4500000047,00030,000000000000387151,Control Valve DN50,P200,ROH3,145,PC,310.61,1,45038.45,
100,4500000047,00040,000000000000310166,Servo Motor 24V,P100,ROH1,197,PC,327.21,1,64460.37,
100,4500000048,00010,000000000000998577,Aluminium Profile 40x40,P200,ROH1,43,PC,116.87,1,5025.41,
100,4500000048,00020,000000000000263740,Bearing Kit 608ZZ,P200,ROH2,85,PC,271.97,1,23117.45,
100,4500000048,00030,000000000000609938,PLC Module CPU1214,P200,ROH2,155,PC,258.7,1,40098.5,
100,4500000048,00040,000000000000546640,Gasket Set Viton,P100,ROH2,29,PC,426.35,1,12364.15,
100,4500000049,00010,000000000000368290,Steel Sheet 2mm,P100,ROH1,95,PC,34.2,1,3249.0,
100,4500000049,00020,000000000000158476,Pressure Sensor 0-10bar,P100,ROH2,30,PC,72.0,1,2160.0,
100,4500000050,00010,000000000000973292,Control Valve DN50,P200,ROH3,61,PC,42.38,1,2585.18,
100,4500000051,00010,000000000000332417,Hydraulic Hose 1/2in,P200,ROH3,193,PC,33.07,1,6382.51,
100,4500000051,00020,000000000000538580,Gasket Set Viton,P100,ROH2,110,PC,117.07,1,12877.7,
100,4500000052,00010,000000000000270072,Servo Motor 24V,P200,ROH1,19,PC,375.89,1,7141.91,
100,4500000052,00020,000000000000246951,Aluminium Profile 40x40,P200,ROH1,118,PC,8.85,1,1044.3,
100,4500000052,00030,000000000000699093,Gasket Set Viton,P100,ROH2,51,PC,69.03,1,3520.53,
100,4500000053,00010,000000000000797808,Control Valve DN50,P200,ROH3,73,PC,117.77,1,8597.21,
100,4500000053,00020,000000000000473457,Steel Sheet 2mm,P100,ROH1,138,PC,420.0,1,57960.0,
100,4500000053,00030,000000000000704306,Servo Motor 24V,P200,ROH1,197,PC,404.93,1,79771.21,
100,4500000053,00040,000000000000568125,Pressure Sensor 0-10bar,P100,ROH2,136,PC,19.33,1,2628.88,
100,4500000054,00010,000000000000667906,Control Valve DN50,P100,ROH3,156,PC,108.53,1,16930.68,
100,4500000054,00020,000000000000966138,Control Valve DN50,P200,ROH3,9,PC,422.41,1,3801.69,
100,4500000054,00030,000000000000514851,Steel Sheet 2mm,P200,ROH1,18,PC,351.39,1,6325.02,
100,4500000054,00040,000000000000943451,PLC Module CPU1214,P100,ROH2,87,PC,368.25,1,32037.75,
100,4500000055,00010,000000000000227611,Gasket Set Viton,P100,ROH2,138,PC,14.04,1,1937.52,
100,4500000056,00010,000000000000705390,Servo Motor 24V,P100,ROH1,78,PC,129.16,1,10074.48,
100,4500000056,00020,000000000000332381,PLC Module CPU1214,P200,ROH2,171,PC,178.9,1,30591.9,
100,4500000056,00030,000000000000958594,Pressure Sensor 0-10bar,P200,ROH2,84,PC,21.69,1,1821.96,
100,4500000057,00010,000000000000536995,Control Valve DN50,P100,ROH3,91,PC,303.36,1,27605.76,
100,4500000057,00020,000000000000199668,Aluminium Profile 40x40,P200,ROH1,194,PC,386.47,1,74975.18,
100,4500000058,00010,000000000000509662,Hydraulic Hose 1/2in,P200,ROH3,139,PC,253.47,1,35232.33,
100,4500000058,00020,000000000000565600,Servo Motor 24V,P200,ROH1,81,PC,89.42,1,7243.02,
100,4500000058,00030,000000000000192201,Cable Harness 3m,P100,ROH1,89,PC,151.15,1,13452.35,
100,4500000059,00010,000000000000529411,Bearing Kit 608ZZ,P100,ROH2,100,PC,229.4,1,22940.0,
100,4500000059,00020,000000000000610355,Servo Motor 24V,P200,ROH1,107,PC,202.55,1,21672.85,
100,4500000060,00010,000000000000760705,Steel Sheet 2mm,P200,ROH1,149,PC,274.58,1,40912.42,
100,4500000060,00020,000000000000111255,Servo Motor 24V,P100,ROH1,5,PC,143.58,1,717.9,
100,4500000061,00010,000000000000179828,Bearing Kit 608ZZ,P200,ROH2,48,PC,426.94,1,20493.12,
100,4500000062,00010,000000000000330736,Steel Sheet 2mm,P100,ROH1,106,PC,265.54,1,28147.24,
100,4500000063,00010,000000000000517960,Gasket Set Viton,P100,ROH2,187,PC,222.1,1,41532.7,
100,4500000063,00020,000000000000404821,Steel Sheet 2mm,P100,ROH1,106,PC,256.2,1,27157.2,
100,4500000063,00030,000000000000229278,Bearing Kit 608ZZ,P200,ROH2,113,PC,373.01,1,42150.13,
100,4500000063,00040,000000000000348695,Hydraulic Hose 1/2in,P100,ROH3,116,PC,23.43,1,2717.88,
100,4500000064,00010,000000000000737747,Servo Motor 24V,P100,ROH1,135,PC,101.94,1,13761.9,
100,4500000064,00020,000000000000130111,Servo Motor 24V,P100,ROH1,173,PC,325.46,1,56304.58,
100,4500000065,00010,000000000000284961,Gasket Set Viton,P200,ROH2,12,PC,170.03,1,2040.36,
100,4500000065,00020,000000000000791078,Steel Sheet 2mm,P100,ROH1,185,PC,317.07,1,58657.95,
100,4500000066,00010,000000000000874188,Servo Motor 24V,P100,ROH1,15,PC,252.14,1,3782.1,
100,4500000066,00020,000000000000367081,Aluminium Profile 40x40,P200,ROH1,116,PC,304.2,1,35287.2,
100,4500000067,00010,000000000000652939,Gasket Set Viton,P200,ROH2,28,PC,162.27,1,4543.56,
100,4500000067,00020,000000000000633366,Pressure Sensor 0-10bar,P100,ROH2,18,PC,307.05,1,5526.9,
100,4500000068,00010,000000000000819566,Control Valve DN50,P200,ROH3,185,PC,223.01,1,41256.85,
100,4500000068,00020,000000000000831958,Hydraulic Hose 1/2in,P100,ROH3,81,PC,66.96,1,5423.76,
100,4500000069,00010,000000000000269155,Bearing Kit 608ZZ,P200,ROH2,88,PC,204.72,1,18015.36,
100,4500000069,00020,000000000000188050,Pressure Sensor 0-10bar,P200,ROH2,196,PC,324.98,1,63696.08,
100,4500000069,00030,000000000000921953,Cable Harness 3m,P200,ROH1,144,PC,150.24,1,21634.56,
100,4500000069,00040,000000000000758237,Gasket Set Viton,P200,ROH2,162,PC,421.38,1,68263.56,
100,4500000070,00010,000000000000143256,Steel Sheet 2mm,P200,ROH1,32,PC,258.56,1,8273.92,
100,4500000070,00020,000000000000618394,Cable Harness 3m,P100,ROH1,113,PC,228.79,1,25853.27,
100,4500000071,00010,000000000000175491,Gasket Set Viton,P200,ROH2,174,PC,32.44,1,5644.56,
100,4500000071,00020,000000000000560003,Bearing Kit 608ZZ,P100,ROH2,7,PC,302.42,1,2116.94,
100,4500000072,00010,000000000000738738,Hydraulic Hose 1/2in,P200,ROH3,173,PC,139.29,1,24097.17,
100,4500000073,00010,000000000000655722,Hydraulic Hose 1/2in,P200,ROH3,66,PC,257.65,1,17004.9,
100,4500000073,00020,000000000000886270,Aluminium Profile 40x40,P200,ROH1,33,PC,105.8,1,3491.4,
100,4500000073,00030,000000000000338016,Pressure Sensor 0-10bar,P100,ROH2,146,PC,210.5,1,30733.0,
100,4500000073,00040,000000000000939211,Bearing Kit 608ZZ,P100,ROH2,117,PC,67.35,1,7879.95,
100,4500000074,00010,000000000000913866,Hydraulic Hose 1/2in,P100,ROH3,163,PC,33.44,1,5450.72,
100,4500000074,00020,000000000000414499,Pressure Sensor 0-10bar,P200,ROH2,35,PC,320.68,1,11223.8,
100,4500000075,00010,000000000000473020,Bearing Kit 608ZZ,P100,ROH2,145,PC,152.69,1,22140.05,
100,4500000075,00020,000000000000827636,Cable Harness 3m,P200,ROH1,119,PC,17.41,1,2071.79,
100,4500000075,00030,000000000000294268,Gasket Set Viton,P200,ROH2,43,PC,252.98,1,10878.14,
100,4500000076,00010,000000000000740518,Cable Harness 3m,P200,ROH1,137,PC,41.54,1,5690.98,
100,4500000076,00020,000000000000145776,PLC Module CPU1214,P200,ROH2,59,PC,83.02,1,4898.18,
100,4500000076,00030,000000000000429630,Hydraulic Hose 1/2in,P200,ROH3,6,PC,156.29,1,937.74,
100,4500000076,00040,000000000000761519,Steel Sheet 2mm,P100,ROH1,42,PC,329.32,1,13831.44,
100,4500000077,00010,000000000000838433,Steel Sheet 2mm,P200,ROH1,91,PC,304.91,1,27746.81,
100,4500000077,00020,000000000000242207,Control Valve DN50,P200,ROH3,57,PC,11.2,1,638.4,
100,4500000077,00030,000000000000715296,Control Valve DN50,P200,ROH3,21,PC,71.57,1,1502.97,
100,4500000078,00010,000000000000328919,Steel Sheet 2mm,P100,ROH1,17,PC,184.61,1,3138.37,
100,4500000078,00020,000000000000626297,Gasket Set Viton,P100,ROH2,170,PC,52.01,1,8841.7,
100,4500000079,00010,000000000000534395,Steel Sheet 2mm,P200,ROH1,16,PC,46.54,1,744.64,
100,4500000079,00020,000000000000126991,Steel Sheet 2mm,P200,ROH1,86,PC,257.35,1,22132.1,
100,4500000080,00010,000000000000840678,Aluminium Profile 40x40,P200,ROH1,121,PC,255.21,1,30880.41,
100,4500000080,00020,000000000000598874,Aluminium Profile 40x40,P200,ROH1,30,PC,297.67,1,8930.1,
100,4500000080,00030,000000000000754971,Steel Sheet 2mm,P100,ROH1,39,PC,62.02,1,2418.78,
100,4500000081,00010,000000000000806962,Servo Motor 24V,P200,ROH1,94,PC,34.51,1,3243.94,
100,4500000082,00010,000000000000313076,Hydraulic Hose 1/2in,P200,ROH3,88,PC,343.55,1,30232.4,
100,4500000082,00020,000000000000600559,Control Valve DN50,P100,ROH3,73,PC,429.79,1,31374.67,
100,4500000083,00010,000000000000148432,Hydraulic Hose 1/2in,P100,ROH3,117,PC,88.58,1,10363.86,
100,4500000083,00020,000000000000818436,Gasket Set Viton,P100,ROH2,11,PC,363.82,1,4002.02,
100,4500000084,00010,000000000000629301,Control Valve DN50,P200,ROH3,157,PC,110.38,1,17329.66,
100,4500000085,00010,000000000000625052,Aluminium Profile 40x40,P200,ROH1,33,PC,242.23,1,7993.59,
100,4500000085,00020,000000000000466416,Bearing Kit 608ZZ,P100,ROH2,60,PC,385.1,1,23106.0,
100,4500000086,00010,000000000000433725,Servo Motor 24V,P100,ROH1,143,PC,193.26,1,27636.18,
100,4500000086,00020,000000000000350705,Steel Sheet 2mm,P200,ROH1,160,PC,229.46,1,36713.6,
100,4500000086,00030,000000000000795653,Cable Harness 3m,P100,ROH1,34,PC,46.37,1,1576.58,
100,4500000086,00040,000000000000525532,Steel Sheet 2mm,P200,ROH1,182,PC,254.87,1,46386.34,
100,4500000087,00010,000000000000169048,Control Valve DN50,P100,ROH3,198,PC,241.71,1,47858.58,
100,4500000087,00020,000000000000259862,Control Valve DN50,P100,ROH3,174,PC,211.45,1,36792.3,
100,4500000088,00010,000000000000484749,Control Valve DN50,P100,ROH3,130,PC,238.15,1,30959.5,
100,4500000089,00010,000000000000234532,Cable Harness 3m,P200,ROH1,113,PC,431.6,1,48770.8,
100,4500000090,00010,000000000000445453,Cable Harness 3m,P200,ROH1,23,PC,43.33,1,996.59,
100,4500000091,00010,000000000000667977,Servo Motor 24V,P200,ROH1,15,PC,417.19,1,6257.85,
100,4500000091,00020,000000000000194426,Bearing Kit 608ZZ,P100,ROH2,61,PC,382.77,1,23348.97,
100,4500000092,00010,000000000000388009,Aluminium Profile 40x40,P200,ROH1,138,PC,123.96,1,17106.48,
100,4500000092,00020,000000000000635802,Servo Motor 24V,P200,ROH1,112,PC,309.03,1,34611.36,
100,4500000093,00010,000000000000844357,Pressure Sensor 0-10bar,P200,ROH2,154,PC,70.45,1,10849.3,
100,4500000093,00020,000000000000108923,Hydraulic Hose 1/2in,P200,ROH3,141,PC,37.9,1,5343.9,
100,4500000093,00030,000000000000845072,Cable Harness 3m,P200,ROH1,58,PC,362.69,1,21036.02,
100,4500000093,00040,000000000000288885,Steel Sheet 2mm,P100,ROH1,116,PC,387.29,1,44925.64,
100,4500000094,00010,000000000000829502,Steel Sheet 2mm,P200,ROH1,39,PC,26.46,1,1031.94,
100,4500000094,00020,000000000000854301,Aluminium Profile 40x40,P200,ROH1,44,PC,144.83,1,6372.52,
100,4500000095,00010,000000000000827913,Aluminium Profile 40x40,P100,ROH1,28,PC,95.58,1,2676.24,
100,4500000095,00020,000000000000140697,Bearing Kit 608ZZ,P100,ROH2,95,PC,61.98,1,5888.1,
100,4500000096,00010,000000000000608289,Cable Harness 3m,P100,ROH1,76,PC,389.88,1,29630.88,
100,4500000097,00010,000000000000287545,Hydraulic Hose 1/2in,P200,ROH3,33,PC,356.17,1,11753.61,
100,4500000097,00020,000000000000218439,Aluminium Profile 40x40,P200,ROH1,46,PC,271.25,1,12477.5,
100,4500000097,00030,000000000000778230,Servo Motor 24V,P200,ROH1,183,PC,66.33,1,12138.39,
100,4500000098,00010,000000000000313341,Aluminium Profile 40x40,P100,ROH1,37,PC,409.51,1,15151.87,
100,4500000098,00020,000000000000210891,Steel Sheet 2mm,P100,ROH1,18,PC,223.87,1,4029.66,
100,4500000098,00030,000000000000132422,Gasket Set Viton,P100,ROH2,113,PC,181.82,1,20545.66,
100,4500000098,00040,000000000000355390,Cable Harness 3m,P100,ROH1,157,PC,350.53,1,55033.21,
100,4500000099,00010,000000000000330312,Cable Harness 3m,P100,ROH1,180,PC,154.33,1,27779.4,
100,4500000099,00020,000000000000139561,Pressure Sensor 0-10bar,P200,ROH2,132,PC,240.29,1,31718.28,
100,4500000100,00010,000000000000972894,Pressure Sensor 0-10bar,P200,ROH2,179,PC,268.95,1,48142.05,
