MANDT,EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,AEDAT,ERNAM,WAERS,ZTERM,FRGKE
100,4500000028,1000,NB,100015,1000,003,20260129,M.ROSSI,EUR,0001,R
100,4500000029,1000,NB,100015,1010,003,20260122,L.BIANCHI,EUR,0001,R
100,4500000030,1000,NB,100002,1000,001,20260202,A.MORETTI,EUR,0003,R
100,4500000031,1000,NB,100013,1010,002,20260122,M.ROSSI,EUR,0001,R
100,4500000032,1000,NB,100012,1000,002,20260224,L.BIANCHI,EUR,0002,B
100,4500000033,1000,NB,100014,1000,003,20260121,L.BIANCHI,EUR,0003,B
100,4500000034,1000,NB,100001,1000,003,20260113,A.MORETTI,EUR,0001,R
100,4500000035,1000,NB,100011,1010,002,20260214,M.ROSSI,EUR,0001,R
100,4500000036,1000,NB,100002,1000,003,20260205,L.BIANCHI,EUR,0003,R
100,4500000037,1000,NB,100012,1000,002,20260223,M.ROSSI,EUR,0002,B
100,4500000038,1000,NB,100002,1000,002,20260117,M.ROSSI,EUR,0002,R
100,4500000039,1000,NB,100015,1010,001,20260111,A.MORETTI,EUR,0001,R
100,4500000040,1000,NB,100006,1000,002,20260211,M.ROSSI,EUR,0002,B
100,4500000041,1000,NB,100001,1010,003,20260225,L.BIANCHI,EUR,0001,R
100,4500000042,1000,NB,100004,1010,001,20260207,A.MORETTI,EUR,0001,R
100,4500000043,1000,NB,100006,1000,002,20260126,L.BIANCHI,EUR,0002,R
100,4500000044,1000,NB,100011,1000,002,20260105,L.BIANCHI,EUR,0003,R
100,4500000045,1000,NB,100005,1000,003,20260220,L.BIANCHI,EUR,0003,R
100,4500000046,1000,NB,100011,1000,003,20260226,L.BIANCHI,EUR,0002,R
100,4500000047,1000,NB,100012,1010,001,20260105,A.MORETTI,EUR,0002,R
100,4500000048,1000,NB,100013,1010,002,20260218,A.MORETTI,EUR,0003,R
100,4500000049,1000,NB,100003,1010,001,20260202,M.ROSSI,EUR,0003,R
100,4500000050,1000,NB,100013,1000,003,20260114,L.BIANCHI,EUR,0003,R
100,4500000051,1000,NB,100006,1010,001,20260226,M.ROSSI,EUR,0003,R
100,4500000052,1000,NB,100006,1000,002,20260201,M.ROSSI,EUR,0001,B
100,4500000053,1000,NB,100006,1010,003,20260123,M.ROSSI,EUR,0001,B
100,4500000054,1000,NB,100008,1010,003,20260205,M.ROSSI,EUR,0001,R
100,4500000055,1000,NB,100010,1010,003,20260122,A.MORETTI,EUR,0003,R
100,4500000056,1000,NB,100009,1010,001,20260305,M.ROSSI,EUR,0003,R
100,4500000057,1000,NB,100008,1010,001,20260216,L.BIANCHI,EUR,0002,R
100,4500000058,1000,NB,100007,1010,002,20260228,L.BIANCHI,EUR,0003,R
100,4500000059,1000,NB,100001,1010,003,20260212,L.BIANCHI,EUR,0001,R
100,4500000060,1000,NB,100005,1000,003,20260226,A.MORETTI,EUR,0001,B
100,4500000061,1000,NB,100010,1000,001,20260112,A.MORETTI,EUR,0003,R
100,4500000062,1000,NB,100010,1000,002,20260109,L.BIANCHI,EUR,0003,B
100,4500000063,1000,NB,100002,1010,003,20260120,A.MORETTI,EUR,0003,R
100,4500000064,1000,NB,100011,1010,003,20260113,A.MORETTI,EUR,0002,R
100,4500000065,1000,NB,100014,1010,002,20260219,L.BIANCHI,EUR,0002,B
100,4500000066,1000,NB,100007,1000,003,20260107,L.BIANCHI,EUR,0001,R
100,4500000067,1000,NB,100012,1010,001,20260304,A.MORETTI,EUR,0003,B
100,4500000068,1000,NB,100003,1010,002,20260127,M.ROSSI,EUR,0001,R
100,4500000069,1000,NB,100001,1010,002,20260303,M.ROSSI,EUR,0001,R
100,4500000070,1000,NB,100006,1000,002,20260119,A.MORETTI,EUR,0002,R
100,4500000071,1000,NB,100008,1010,001,20260117,M.ROSSI,EUR,0001,B
100,4500000072,1000,NB,100009,1000,003,20260304,L.BIANCHI,EUR,0003,R
100,4500000073,1000,NB,100008,1000,001,20260218,A.MORETTI,EUR,0003,R
100,4500000074,1000,NB,100007,1000,001,20260208,A.MORETTI,EUR,0002,R
100,4500000075,1000,NB,100002,1010,002,20260120,A.MORETTI,EUR,0002,R
100,4500000076,1000,NB,100001,1010,001,20260109,L.BIANCHI,EUR,0001,B
100,4500000077,1000,NB,100006,1000,002,20260221,L.BIANCHI,EUR,0003,B
100,4500000078,1000,NB,100005,1000,002,20260303,M.ROSSI,EUR,0003,R
100,4500000079,1000,NB,100001,1010,002,20260215,A.MORETTI,EUR,0003,R
100,4500000080,1000,NB,100010,1010,001,20260126,A.MORETTI,EUR,0002,R
100,4500000081,1000,NB,100013,1000,001,20260303,A.MORETTI,EUR,0003,R
100,4500000082,1000,NB,100001,1010,001,20260121,A.MORETTI,EUR,0002,R
100,4500000083,1000,NB,100004,1010,002,20260115,M.ROSSI,EUR,0003,R
100,4500000084,1000,NB,100015,1000,003,20260107,M.ROSSI,EUR,0003,R
100,4500000085,1000,NB,100002,1010,001,20260205,M.ROSSI,EUR,0001,R
100,4500000086,1000,NB,100005,1010,002,20260209,A.MORETTI,EUR,0003,R
100,4500000087,1000,NB,100013,1010,002,20260121,A.MORETTI,EUR,0002,B
100,4500000088,1000,NB,100012,1010,002,20260112,A.MORETTI,EUR,0001,R
100,4500000089,1000,NB,100005,1010,002,20260120,M.ROSSI,EUR,0003,B
100,4500000090,1000,NB,100006,1000,002,20260120,A.MORETTI,EUR,0001,R
100,4500000091,1000,NB,100008,1000,002,20260130,A.MORETTI,EUR,0001,R
100,4500000092,1000,NB,100014,1010,001,20260214,L.BIANCHI,EUR,0001,R
100,4500000093,1000,NB,100005,1000,001,20260124,M.ROSSI,EUR,0001,R
100,4500000094,1000,NB,100001,1010,001,20260131,A.MORETTI,EUR,0002,B
100,4500000095,1000,NB,100007,1010,002,20260107,M.ROSSI,EUR,0003,R
100,4500000096,1000,NB,100009,1010,002,20260109,L.BIANCHI,EUR,0001,B
100,4500000097,1000,NB,100001,1010,002,20260116,L.BIANCHI,EUR,0002,R
100,4500000098,1000,NB,100010,1010,001,20260208,L.BIANCHI,EUR,0001,R
100,4500000099,1000,NB,100003,1000,003,20260220,M.ROSSI,EUR,0002,R
100,4500000100,1000,NB,100013,1010,003,20260205,M.ROSSI,EUR,0002,R
