MANDT,BELNR,GJAHR,BUZEI,EBELN,EBELP,MATNR,MENGE,WRBTR,MWSKZ
100,5100000051,2026,003,4500000056,00030,,84,1791.3,V1
100,5100000052,2026,001,4500000057,00010,,91,27273.11,V1
100,5100000052,2026,002,4500000057,00020,,194,74650.82,V1
100,5100000053,2026,001,4500000058,00010,,139,34925.76,V2
100,5100000053,2026,002,4500000058,00020,,81,7175.87,V2
100,5100000053,2026,003,4500000058,00030,,89,13451.9,V2
100,5100000054,2026,001,4500000059,00010,,100,22782.14,V2
100,5100000054,2026,002,4500000059,00020,,107,21595.07,V2
100,5100000055,2026,001,4500000060,00010,,149,40723.38,V2
100,5100000055,2026,002,4500000060,00020,,5,716.4,V1
100,5100000056,2026,001,4500000061,00010,,48,20096.74,V1
100,5100000057,2026,001,4500000062,00010,,106,27923.5,V2
100,5100000058,2026,001,4500000063,00010,,187,41396.73,V1
100,5100000058,2026,002,4500000063,00020,,106,26805.74,V2
100,5100000058,2026,003,4500000063,00030,,113,42115.06,V1
100,5100000058,2026,004,4500000063,00040,,116,2689.39,V1
100,5100000059,2026,001,4500000064,00010,,135,13738.19,V2
100,5100000059,2026,002,4500000064,00020,,173,55987.83,V1
100,5100000060,2026,001,4500000065,00020,,185,58320.77,V1
100,5100000061,2026,001,4500000066,00010,,15,3710.04,V1
100,5100000061,2026,002,4500000066,00020,,116,34607.66,V2
100,5100000062,2026,001,4500000067,00010,,28,4502.34,V1
100,5100000062,2026,002,4500000067,00020,,18,5443.96,V1
100,5100000063,2026,001,4500000068,00010,,185,40766.8,V1
100,5100000063,2026,002,4500000068,00020,,81,5346.67,V2
100,5100000064,2026,001,4500000069,00020,,196,63563.09,V1
100,5100000064,2026,002,4500000069,00030,,144,21512.91,V2
100,5100000064,2026,003,4500000069,00040,,162,67344.29,V1
100,5100000065,2026,001,4500000070,00010,,32,8213.81,V2
100,5100000065,2026,002,4500000070,00020,,113,25356.86,V2
100,5100000066,2026,001,4500000071,00010,,174,5553.73,V1
100,5100000066,2026,002,4500000071,00020,,7,2096.48,V2
100,5100000067,2026,001,4500000072,00010,,173,23628.64,V1
100,5100000068,2026,001,4500000074,00010,,163,5422.97,V2
100,5100000068,2026,002,4500000074,00020,,35,11164.55,V1
100,5100000069,2026,001,4500000075,00010,,145,21816.24,V2
100,5100000069,2026,002,4500000075,00020,,119,2044.54,V1
100,5100000069,2026,003,4500000075,00030,,43,10765.87,V1
100,5100000070,2026,001,4500000076,00010,,137,5640.97,V1
100,5100000070,2026,002,4500000076,00020,,59,4876.07,V1
100,5100000070,2026,003,4500000076,00030,,6,924.27,V1
100,5100000070,2026,004,4500000076,00040,,42,13814.47,V1
100,5100000071,2026,001,4500000077,00010,,91,27388.04,V2
100,5100000071,2026,002,4500000077,00020,,57,635.52,V2
100,5100000071,2026,003,4500000077,00030,,21,1500.62,V2
100,5100000072,2026,001,4500000078,00010,,17,3115.93,V1
100,5100000072,2026,002,4500000078,00020,,170,8828.06,V1
100,5100000073,2026,001,4500000079,00010,,16,735.13,V2
100,5100000073,2026,002,4500000079,00020,,86,21949.95,V1
100,5100000074,2026,001,4500000080,00010,,121,30479.48,V1
100,5100000074,2026,002,4500000080,00020,,30,8905.07,V1
100,5100000074,2026,003,4500000080,00030,,39,2387.06,V2
100,5100000075,2026,001,4500000083,00010,,117,10252.86,V2
100,5100000075,2026,002,4500000083,00020,,11,3949.16,V2
100,5100000076,2026,001,4500000085,00010,,33,7922.71,V2
100,5100000076,2026,002,4500000085,00020,,60,22794.4,V1
100,5100000077,2026,001,4500000086,00010,,143,27293.43,V2
100,5100000077,2026,002,4500000086,00020,,160,36026.41,V2
100,5100000077,2026,003,4500000086,00030,,34,1566.4,V2
100,5100000077,2026,004,4500000086,00040,,182,46198.31,V1
100,5100000078,2026,001,4500000087,00010,,198,47670.22,V2
100,5100000078,2026,002,4500000087,00020,,174,36121.21,V2
100,5100000079,2026,001,4500000088,00010,,130,30530.12,V2
100,5100000080,2026,001,4500000089,00010,,113,48387.89,V2
100,5100000081,2026,001,4500000090,00010,,23,985.35,V2
100,5100000082,2026,001,4500000091,00010,,15,6139.55,V2
100,5100000082,2026,002,4500000091,00020,,61,22947.47,V2
100,5100000083,2026,001,4500000093,00010,,154,10778.53,V2
100,5100000083,2026,002,4500000093,00020,,141,5294.14,V1
100,5100000083,2026,003,4500000093,00030,,58,21001.46,V1
100,5100000083,2026,004,4500000093,00040,,116,44445.53,V1
100,5100000084,2026,001,4500000096,00010,,76,29597.93,V2
100,5100000085,2026,001,4500000097,00010,,33,11579.96,V1
100,5100000085,2026,002,4500000097,00020,,46,12257.17,V2
100,5100000085,2026,003,4500000097,00030,,183,12026.97,V2
100,5100000086,2026,001,4500000098,00010,,37,15094.46,V2
100,5100000086,2026,002,4500000098,00020,,18,3963.8,V2
100,5100000086,2026,003,4500000098,00040,,157,54380.63,V1
100,5100000087,2026,001,4500000099,00010,,180,27660.85,V1
100,5100000087,2026,002,4500000099,00020,,132,31700.11,V1
100,5100000088,2026,001,4500000100,00010,,179,47933.26,V2
