MANDT,EBELN,EBELP,ZEILE,VGABE,GJAHR,BELNR,BUDAT,MENGE,DMBTR,BEWTP,ERNAM
100,4500000014,00030,0001,1,2026,5000000034,20260310,102,4275.84,E,M.ROSSI
100,4500000014,00040,0001,1,2026,5000000035,20260303,41,6340.24,E,L.BIANCHI
100,4500000015,00020,0001,1,2026,5000000036,20260122,128,51813.12,E,A.MORETTI
100,4500000015,00030,0001,1,2026,5000000037,20260125,82,27011.62,E,L.BIANCHI
100,4500000016,00010,0001,1,2026,5000000038,20260208,73,14659.86,E,L.BIANCHI
100,4500000016,00020,0001,1,2026,5000000039,20260203,199,57085.14,E,L.BIANCHI
100,4500000016,00030,0001,1,2026,5000000040,20260211,197,13642.25,E,L.BIANCHI
100,4500000017,00010,0001,1,2026,5000000041,20260216,67,3222.7,E,L.BIANCHI
100,4500000017,00020,0001,1,2026,5000000042,,10,3393.5,E,L.BIANCHI
100,4500000018,00020,0001,1,2026,5000000043,20260205,32,3421.44,E,A.MORETTI
100,4500000018,00030,0001,1,2026,5000000044,20260129,146,51300.02,E,M.ROSSI
100,4500000018,00040,0001,1,2026,5000000045,20260127,162,19324.98,E,A.MORETTI
100,4500000019,00010,0001,1,2026,5000000046,20260203,85,24896.5,E,M.ROSSI
100,4500000019,00020,0001,1,2026,5000000047,20260210,171,24601.77,E,M.ROSSI
100,4500000019,00030,0001,1,2026,5000000048,20260131,175,34221.25,E,A.MORETTI
100,4500000020,00020,0001,1,2026,5000000049,20260315,7,3069.92,E,L.BIANCHI
100,4500000021,00010,0001,1,2026,5000000050,20260207,139,46963.93,E,L.BIANCHI
100,4500000021,00020,0001,1,2026,5000000051,20260201,48,2695.68,E,M.ROSSI
100,4500000022,00010,0001,1,2026,5000000052,20260316,8,1704.88,E,L.BIANCHI
100,4500000022,00020,0001,1,2026,5000000053,20260316,90,38817.0,E,L.BIANCHI
100,4500000022,00030,0001,1,2026,5000000054,20260308,189,64638.0,E,A.MORETTI
100,4500000022,00040,0001,1,2026,5000000055,20260307,103,36780.27,E,M.ROSSI
100,4500000023,00010,0001,1,2026,5000000056,20260119,132,58725.48,E,A.MORETTI
100,4500000023,00020,0001,1,2026,5000000057,20260121,142,54296.54,E,A.MORETTI
100,4500000024,00010,0001,1,2026,5000000058,20260213,123,48979.83,E,M.ROSSI
100,4500000025,00020,0001,1,2026,5000000059,20260227,192,56837.76,E,A.MORETTI
100,4500000026,00010,0001,1,2026,5000000060,20260117,195,50388.0,E,L.BIANCHI
100,4500000026,00020,0001,1,2026,5000000061,20260119,191,35717.0,E,M.ROSSI
100,4500000026,00030,0001,1,2026,5000000062,20260117,98,20748.56,E,A.MORETTI
100,4500000026,00040,0001,1,2026,5000000063,20260119,151,42734.51,E,L.BIANCHI
100,4500000027,00010,0001,1,2026,5000000064,20260221,60,1586.4,E,A.MORETTI
100,4500000027,00020,0001,1,2026,5000000065,20260225,148,56296.24,E,A.MORETTI
100,4500000027,00030,0001,1,2026,5000000066,20260223,165,58065.15,E,A.MORETTI
100,4500000027,00040,0001,1,2026,5000000067,20260227,133,26832.75,E,L.BIANCHI
100,4500000028,00010,0001,1,2026,5000000068,20260211,78,33604.74,E,M.ROSSI
100,4500000029,00010,0001,1,2026,5000000069,20260202,167,64689.12,E,M.ROSSI
100,4500000030,00010,0001,1,2026,5000000070,20260215,82,23824.28,E,L.BIANCHI
100,4500000030,00030,0001,1,2026,5000000071,20260204,63,17559.99,E,L.BIANCHI
100,4500000031,00020,0001,1,2026,5000000072,20260124,141,2700.15,E,M.ROSSI
100,4500000031,00030,0001,1,2026,5000000073,20260127,146,43553.26,E,A.MORETTI
100,4500000031,00040,0001,1,2026,5000000074,20260125,169,32370.26,E,M.ROSSI
100,4500000032,00010,0001,1,2026,5000000075,20260226,62,27807.0,E,A.MORETTI
100,4500000033,00010,0001,1,2026,5000000076,20260126,60,2745.6,E,M.ROSSI
100,4500000033,00020,0001,1,2026,5000000077,20260126,88,8169.92,E,A.MORETTI
100,4500000035,00010,0001,1,2026,5000000078,20260220,88,17186.4,E,L.BIANCHI
100,4500000035,00020,0001,1,2026,5000000079,20260216,126,48423.06,E,M.ROSSI
100,4500000036,00010,0001,1,2026,5000000080,20260208,77,28362.18,E,M.ROSSI
100,4500000036,00020,0001,1,2026,5000000081,20260212,179,45836.53,E,A.MORETTI
100,4500000036,00030,0001,1,2026,5000000082,20260213,170,3252.1,E,A.MORETTI
100,4500000037,00010,0001,1,2026,5000000083,20260228,73,10312.71,E,A.MORETTI
100,4500000037,00020,0001,1,2026,5000000084,20260308,46,5170.86,E,M.ROSSI
100,4500000038,00010,0001,1,2026,5000000085,20260125,32,9279.68,E,M.ROSSI
100,4500000038,00020,0001,1,2026,5000000086,20260121,116,36482.0,E,A.MORETTI
100,4500000038,00030,0001,1,2026,5000000087,20260128,194,22327.46,E,L.BIANCHI
100,4500000038,00040,0001,1,2026,5000000088,20260129,189,56019.6,E,L.BIANCHI
100,4500000039,00010,0001,1,2026,5000000089,20260124,30,11473.2,E,M.ROSSI
100,4500000039,00020,0001,1,2026,5000000090,20260123,92,17422.04,E,A.MORETTI
100,4500000040,00010,0001,1,2026,5000000091,20260223,59,4762.48,E,A.MORETTI
100,4500000040,00020,0001,1,2026,5000000092,20260223,62,22820.34,E,L.BIANCHI
100,4500000041,00010,0001,1,2026,5000000093,20260304,114,32322.42,E,L.BIANCHI
100,4500000041,00020,0001,1,2026,5000000094,20260301,26,9722.18,E,L.BIANCHI
100,4500000041,00030,0001,1,2026,5000000095,20260303,173,2261.11,E,A.MORETTI
100,4500000042,00010,0001,1,2026,5000000096,20260211,40,8686.8,E,M.ROSSI
100,4500000042,00020,0001,1,2026,5000000097,20260214,143,39041.86,E,A.MORETTI
100,4500000042,00030,0001,1,2026,5000000098,20260219,77,29223.81,E,A.MORETTI
100,4500000043,00010,0001,1,2026,5000000099,20260204,18,6721.38,E,A.MORETTI
100,4500000043,00020,0001,1,2026,5000000100,20260202,93,40822.35,E,A.MORETTI
100,4500000043,00030,0001,1,2026,5000000101,20260128,155,67883.8,E,A.MORETTI
100,4500000043,00040,0001,1,2026,5000000102,20260128,151,4525.47,E,L.BIANCHI
100,4500000044,00010,0001,1,2026,5000000103,20260116,13,1934.01,E,M.ROSSI
100,4500000044,00020,0001,1,2026,5000000104,20260113,138,3506.58,E,L.BIANCHI
100,4500000044,00030,0001,1,2026,5000000105,20260113,8,2468.32,E,M.ROSSI
100,4500000045,00010,0001,1,2026,5000000106,20260223,196,63384.44,E,A.MORETTI
100,4500000046,00010,0001,1,2026,5000000107,20260302,20,2956.0,E,M.ROSSI
100,4500000046,00020,0001,1,2026,5000000108,20260312,46,13171.18,E,L.BIANCHI
100,4500000047,00010,0001,1,2026,5000000109,20260111,101,27672.99,E,L.BIANCHI
100,4500000047,00020,0001,1,2026,5000000110,20260109,113,8759.76,E,A.MORETTI
100,4500000047,00030,0001,1,2026,5000000111,20260108,145,45038.45,E,L.BIANCHI
100,4500000047,00040,0001,1,2026,5000000112,20260107,197,64460.37,E,L.BIANCHI
100,4500000048,00010,0001,1,2026,5000000113,20260221,43,5025.41,E,L.BIANCHI
100,4500000048,00020,0001,1,2026,5000000114,20260301,84,22845.48,E,M.ROSSI
100,4500000048,00040,0001,1,2026,5000000115,20260220,29,12364.15,E,M.ROSSI
100,4500000049,00010,0001,1,2026,5000000116,20260204,95,3249.0,E,A.MORETTI
100,4500000051,00010,0001,1,2026,5000000117,20260302,193,6382.51,E,M.ROSSI
100,4500000051,00020,0001,1,2026,5000000118,20260313,110,12877.7,E,M.ROSSI
100,4500000052,00010,0001,1,2026,5000000119,20260213,14,5262.46,E,L.BIANCHI
100,4500000052,00020,0001,1,2026,5000000120,20260209,114,1008.9,E,M.ROSSI
100,4500000052,00030,0001,1,2026,5000000121,20260206,51,3520.53,E,M.ROSSI
100,4500000053,00010,0001,1,2026,5000000122,20260205,73,8597.21,E,A.MORETTI
100,4500000053,00020,0001,1,2026,5000000123,20260205,138,57960.0,E,L.BIANCHI
100,4500000053,00040,0001,1,2026,5000000124,20260126,136,2628.88,E,M.ROSSI
100,4500000054,00010,0001,1,2026,5000000125,20260216,156,16930.68,E,L.BIANCHI
100,4500000054,00020,0001,1,2026,5000000126,20260216,9,3801.69,E,A.MORETTI
100,4500000054,00030,0001,1,2026,5000000127,20260220,18,6325.02,E,L.BIANCHI
100,4500000054,00040,0001,1,2026,5000000128,20260209,87,32037.75,E,L.BIANCHI
100,4500000056,00010,0001,1,2026,5000000129,20260311,78,10074.48,E,A.MORETTI
100,4500000056,00020,0001,1,2026,5000000130,20260315,171,30591.9,E,L.BIANCHI
100,4500000056,00030,0001,1,2026,5000000131,20260315,84,1821.96,E,A.MORETTI
100,4500000057,00010,0001,1,2026,5000000132,20260227,91,27605.76,E,L.BIANCHI
100,4500000057,00020,0001,1,2026,5000000133,20260228,194,74975.18,E,A.MORETTI
100,4500000058,00010,0001,1,2026,5000000134,20260302,139,35232.33,E,L.BIANCHI
100,4500000058,00020,0001,1,2026,5000000135,20260308,81,7243.02,E,A.MORETTI
100,4500000059,00020,0001,1,2026,5000000136,20260225,107,21672.85,E,M.ROSSI
100,4500000060,00010,0001,1,2026,5000000137,20260310,149,40912.42,E,M.ROSSI
100,4500000061,00010,0001,1,2026,5000000138,20260123,48,20493.12,E,M.ROSSI
100,4500000062,00010,0001,1,2026,5000000139,20260120,106,28147.24,E,M.ROSSI
100,4500000063,00010,0001,1,2026,5000000140,20260124,187,41532.7,E,M.ROSSI
100,4500000063,00020,0001,1,2026,5000000141,20260204,106,27157.2,E,L.BIANCHI
100,4500000063,00030,0001,1,2026,5000000142,20260128,113,42150.13,E,L.BIANCHI
100,4500000063,00040,0001,1,2026,5000000143,20260124,116,2717.88,E,M.ROSSI
100,4500000064,00010,0001,1,2026,5000000144,20260116,135,13761.9,E,L.BIANCHI
100,4500000064,00020,0001,1,2026,5000000145,20260121,173,56304.58,E,A.MORETTI
100,4500000066,00010,0001,1,2026,5000000146,20260112,15,3782.1,E,A.MORETTI
100,4500000067,00010,0001,1,2026,5000000147,20260311,28,4543.56,E,A.MORETTI
100,4500000067,00020,0001,1,2026,5000000148,20260314,18,5526.9,E,M.ROSSI
100,4500000068,00010,0001,1,2026,5000000149,20260201,181,40364.81,E,M.ROSSI
100,4500000068,00020,0001,1,2026,5000000150,20260201,81,5423.76,E,M.ROSSI
100,4500000069,00010,0001,1,2026,5000000151,20260313,87,17810.64,E,L.BIANCHI
100,4500000069,00020,0001,1,2026,5000000152,20260312,196,63696.08,E,L.BIANCHI
100,4500000069,00040,0001,1,2026,5000000153,20260306,162,68263.56,E,M.ROSSI
100,4500000073,00010,0001,1,2026,5000000154,20260223,66,17004.9,E,M.ROSSI
100,4500000073,00020,0001,1,2026,5000000155,20260223,33,3491.4,E,L.BIANCHI
100,4500000073,00030,0001,1,2026,5000000156,20260301,146,30733.0,E,L.BIANCHI
100,4500000073,00040,0001,1,2026,5000000157,20260303,117,7879.95,E,L.BIANCHI
100,4500000074,00010,0001,1,2026,5000000158,20260210,158,5283.52,E,M.ROSSI
100,4500000075,00010,0001,1,2026,5000000159,20260201,145,22140.05,E,L.BIANCHI
100,4500000075,00020,0001,1,2026,5000000160,20260122,119,2071.79,E,M.ROSSI
100,4500000076,00010,0001,1,2026,5000000161,20260115,137,5690.98,E,A.MORETTI
100,4500000076,00020,0001,1,2026,5000000162,20260116,59,4898.18,E,L.BIANCHI
100,4500000076,00030,0001,1,2026,5000000163,20260111,6,937.74,E,A.MORETTI
100,4500000076,00040,0001,1,2026,5000000164,20260115,39,12843.48,E,L.BIANCHI
100,4500000077,00010,0001,1,2026,5000000165,20260226,91,27746.81,E,L.BIANCHI
100,4500000077,00020,0001,1,2026,5000000166,20260301,57,638.4,E,L.BIANCHI
100,4500000077,00030,0001,1,2026,5000000167,20260304,21,1502.97,E,L.BIANCHI
100,4500000078,00020,0001,1,2026,5000000168,20260307,170,8841.7,E,M.ROSSI
100,4500000079,00010,0001,1,2026,5000000169,20260226,16,744.64,E,L.BIANCHI
100,4500000079,00020,0001,1,2026,5000000170,20260226,86,22132.1,E,L.BIANCHI
100,4500000080,00010,0001,1,2026,5000000171,20260201,121,30880.41,E,M.ROSSI
100,4500000080,00020,0001,1,2026,5000000172,20260207,30,8930.1,E,M.ROSSI
100,4500000080,00030,0001,1,2026,5000000173,20260130,39,2418.78,E,A.MORETTI
100,4500000081,00010,0001,1,2026,5000000174,20260311,94,3243.94,E,A.MORETTI
100,4500000082,00010,0001,1,2026,5000000175,20260130,88,30232.4,E,A.MORETTI
100,4500000082,00020,0001,1,2026,5000000176,20260127,72,30944.88,E,L.BIANCHI
100,4500000084,00010,0001,1,2026,5000000177,20260120,154,16998.52,E,M.ROSSI
100,4500000085,00020,0001,1,2026,5000000178,20260211,60,23106.0,E,M.ROSSI
100,4500000086,00010,0001,1,2026,5000000179,20260217,143,27636.18,E,M.ROSSI
100,4500000086,00020,0001,1,2026,5000000180,20260222,160,36713.6,E,M.ROSSI
100,4500000086,00040,0001,1,2026,5000000181,20260216,182,46386.34,E,A.MORETTI
100,4500000087,00010,0001,1,2026,5000000182,20260205,198,47858.58,E,A.MORETTI
100,4500000087,00020,0001,1,2026,5000000183,20260128,174,36792.3,E,L.BIANCHI
100,4500000088,00010,0001,1,2026,5000000184,20260122,130,30959.5,E,L.BIANCHI
100,4500000089,00010,0001,1,2026,5000000185,20260127,113,48770.8,E,A.MORETTI
100,4500000090,00010,0001,1,2026,5000000186,20260130,23,996.59,E,A.MORETTI
100,4500000091,00010,0001,1,2026,5000000187,20260213,15,6257.85,E,L.BIANCHI
100,4500000091,00020,0001,1,2026,5000000188,20260202,61,23348.97,E,M.ROSSI
100,4500000092,00010,0001,1,2026,5000000189,20260226,138,17106.48,E,A.MORETTI
100,4500000092,00020,0001,1,2026,5000000190,20260301,112,34611.36,E,L.BIANCHI
100,4500000093,00010,0001,1,2026,5000000191,20260206,154,10849.3,E,M.ROSSI
100,4500000093,00020,0001,1,2026,5000000192,20260129,141,5343.9,E,L.BIANCHI
100,4500000093,00030,0001,1,2026,5000000193,20260206,58,21036.02,E,M.ROSSI
100,4500000093,00040,0001,1,2026,5000000194,20260208,116,44925.64,E,A.MORETTI
100,4500000094,00010,0001,1,2026,5000000195,20260205,39,1031.94,E,L.BIANCHI
100,4500000094,00020,0001,1,2026,5000000196,20260215,44,6372.52,E,A.MORETTI
100,4500000095,00010,0001,1,2026,5000000197,20260115,28,2676.24,E,L.BIANCHI
100,4500000096,00010,0001,1,2026,5000000198,20260118,76,29630.88,E,M.ROSSI
100,4500000097,00010,0001,1,2026,5000000199,20260129,33,11753.61,E,M.ROSSI
100,4500000097,00020,0001,1,2026,5000000200,20260118,46,12477.5,E,M.ROSSI
100,4500000097,00030,0001,1,2026,5000000201,20260129,183,12138.39,E,M.ROSSI
100,4500000098,00020,0001,1,2026,5000000202,20260213,16,3581.92,E,M.ROSSI
100,4500000098,00030,0001,1,2026,5000000203,20260211,108,19636.56,E,M.ROSSI
100,4500000098,00040,0001,1,2026,5000000204,20260211,157,55033.21,E,M.ROSSI
100,4500000100,00010,0001,1,2026,5000000205,20260217,179,48142.05,E,A.MORETTI
